Visibility,VehicleStability,RoadSurface,PathInteraction,StartEgo,RoadFriction,StartOther,Cloudiness,WindIntensity,Wetness,FogDistance,GoalEgo,FogDensity,PrecipitationDeposits,GoalOther,Precipitation,Collision_Occurred,Min_TTC
20,40,0,4,left,0.4,right,0,0,40,20,right,20,0,base,20,False,4.942154777226376
20,40,20,1,left,0.1,base,60,40,20,80,right,20,60,left,80,False,6.361131579091811
20,40,20,2,right,0.1,base,60,40,20,80,left,20,60,left,80,False,3.593526648618111
20,40,20,4,left,0.1,right,60,40,20,80,right,20,60,base,80,False,3.189178516105137
20,40,40,1,left,0.1,base,60,0,20,0,right,60,100,left,80,False,5.622131956428543
20,40,40,2,right,0.1,base,60,0,20,0,left,60,100,left,80,False,3.1131746899879698
20,40,40,4,left,0.1,right,60,0,20,0,right,60,100,base,80,False,3.3079938157580693
20,40,60,1,left,0.2,base,20,80,20,80,right,40,40,left,40,False,5.825296545069759
20,40,60,2,right,0.2,base,20,80,20,80,left,40,40,left,40,False,3.2817790164704457
20,40,60,4,left,0.2,right,20,80,20,80,right,40,40,base,40,False,4.675621225169548
20,40,80,1,left,0.4,base,0,100,0,40,right,60,40,left,20,False,6.397131493152672
20,40,80,2,right,0.4,base,0,100,0,40,left,60,40,left,20,False,3.0387114826573147
20,40,80,4,left,0.4,right,0,100,0,40,right,60,40,base,20,False,2.817220534771265
20,40,100,1,left,0.6,base,20,80,20,20,right,80,20,left,0,False,6.063606299691112
20,40,100,2,right,0.6,base,20,80,20,20,left,80,20,left,0,False,2.952902505400596
20,40,100,4,left,0.6,right,20,80,20,20,right,80,20,base,0,False,3.417526135003275
20,60,0,1,left,0.4,base,40,40,80,60,right,0,40,left,60,False,6.144121371464202
20,60,0,2,right,0.4,base,40,40,80,60,left,0,40,left,60,False,4.277344328841837
20,60,0,4,left,0.4,right,40,40,80,60,right,0,40,base,60,False,3.634674866362176
20,60,20,1,left,0.6,base,80,80,0,60,right,80,20,left,0,False,5.188261613606401
20,60,20,2,right,0.6,base,80,80,0,60,left,80,20,left,0,False,2.4895449233803233
20,60,20,4,left,0.6,right,80,80,0,60,right,80,20,base,0,False,2.816496635280011
20,60,40,1,left,0.2,base,0,0,20,0,right,40,40,left,20,False,6.30154666955508
20,60,40,2,right,0.2,base,0,0,20,0,left,40,40,left,20,True,9999.0
20,60,40,4,left,0.2,right,0,0,20,0,right,40,40,base,20,False,4.977601787631772
20,60,60,1,left,1.0,base,20,80,0,80,right,20,60,left,40,False,6.169479360129879
20,60,60,2,right,1.0,base,20,80,0,80,left,20,60,left,40,False,3.6314485137787655
20,60,60,4,left,1.0,right,20,80,0,80,right,20,60,base,40,False,3.6351132561138995
20,60,80,1,left,0.4,base,100,20,40,60,right,20,80,left,100,False,6.436407355499806
20,60,80,2,right,0.4,base,100,20,40,60,left,20,80,left,100,False,3.5479493702360347
20,60,80,4,left,0.4,right,100,20,40,60,right,20,80,base,100,False,4.77369986238498
20,60,100,1,left,0.6,base,0,0,0,0,right,60,20,left,0,False,5.945241231576804
