Visibility,VehicleStability,RoadSurface,PathInteraction,PrecipitationDeposits,RoadFriction,WindIntensity,StartEgo,GoalEgo,GoalOther,Wetness,Precipitation,FogDistance,StartOther,FogDensity,Cloudiness,Min_TTC,Collision_Occurred
20,20,60,2,0,1,100,base,right,base,0,0,80,right,20,0,2.0100100291659184,False
20,20,60,4,0,1,100,left,base,left,0,0,100,right,0,0,2.6575923966310855,False
20,20,80,1,0,1,100,base,left,base,0,0,100,right,0,0,2.2237604163109155,False
20,20,80,2,0,1,100,right,left,left,0,0,80,base,20,0,3.8955452336334275,False
20,20,80,4,0,1,100,base,left,base,0,0,100,left,0,0,3.5912336030851133,False
20,20,100,1,0,1,100,left,right,right,0,0,80,base,20,0,5.295022863922629,False
20,20,100,2,0,1,100,left,right,base,0,0,80,right,20,0,2.961771283270172,False
20,20,100,4,0,1,100,right,left,right,0,0,100,base,0,0,0.0,True
20,40,0,1,0,1,100,right,left,base,0,0,100,left,0,0,3.4697709570821615,False
20,40,0,2,0,1,100,left,right,right,0,0,100,base,0,0,5.51040439712683,False
20,40,0,4,0,1,100,right,base,right,0,0,100,base,0,0,0.0,True
20,40,20,1,0,1,100,right,left,right,0,0,80,left,20,0,1.0018505715602217,False
20,40,20,2,0,1,100,right,left,right,0,0,100,left,0,0,1.0133324171454923,False
20,40,20,4,0,1,100,left,base,left,0,0,100,right,20,20,3.1624644436537634,False
20,40,40,1,0,1,100,right,base,base,0,0,80,left,20,0,1.5965453597428647,False
20,40,40,2,0,1,100,left,base,left,0,0,80,base,20,0,3.6474542915430503,False
20,40,40,4,0,1,100,base,left,base,0,0,80,right,20,0,1.8328365873212151,False
20,40,60,1,0,1,100,right,base,left,0,0,100,base,0,0,2.257654546375878,False
20,40,60,2,0,1,100,base,right,right,0,0,80,left,20,0,3.655720913038545,False
20,40,60,4,0,1,100,left,right,base,0,0,100,right,0,0,4.493532429182793,False
20,40,80,1,0,1,100,left,right,left,0,0,80,right,20,0,0.7739296002976055,False
20,40,80,2,0,1,100,base,left,left,0,0,100,right,0,0,3.6620321451648374,False
20,40,80,4,0,1,100,base,left,right,0,0,100,left,0,0,1.4294944724854801,False
20,40,100,1,0,1,100,left,base,base,0,0,80,right,20,0,1.4285558263945308,False
20,40,100,2,0,1,100,base,right,base,0,0,100,right,0,0,2.0662332027924455,False
20,40,100,4,0,1,100,right,base,right,0,0,80,base,20,0,0.0,True
20,60,0,1,0,1,100,right,base,right,0,0,100,left,0,0,0.9097432282477766,False
20,60,0,2,0,1,100,left,right,left,0,0,100,base,20,20,6.193256857574644,False
20,60,0,4,0,1,100,right,base,base,0,0,100,left,0,0,25.01971981353653,False
20,60,20,1,0,1,100,left,base,base,0,0,100,right,20,20,1.5214168643318395,False
20,60,20,2,0,1,100,base,right,base,0,0,100,left,0,0,2.9461211979366353,False
20,60,20,4,0,1,100,left,base,right,0,0,100,base,0,0,4.250839015556139,False
20,60,40,1,0,1,100,base,right,base,0,0,80,left,20,0,2.747689279751621,False
20,60,40,2,0,1,100,right,base,right,0,0,80,left,20,0,1.0265796662868525,False
20,60,40,4,0,1,100,base,right,left,0,0,100,right,0,0,3.7077900347729105,False
20,60,60,1,0,1,20,left,base,left,0,0,0,right,80,0,1.8007019103569084,False
20,60,60,2,0,1,100,right,left,left,0,0,100,base,20,20,3.5917400403244244,False
20,60,60,4,0,1,100,left,base,base,0,0,100,right,0,0,2.404288455868924,False
20,60,80,1,0,1,100,base,left,left,0,0,100,right,20,20,6.363825483382376,False
20,60,80,2,0,1,100,left,right,base,0,0,100,right,20,20,2.1369227831851827,False
20,60,80,4,0,1,20,base,left,right,0,0,0,left,80,0,1.665240432480681,False
20,60,100,1,0,1,100,left,right,left,0,0,100,right,20,20,0.9359826109049019,False
20,60,100,2,0,1,20,right,base,right,0,0,0,left,80,0,2.303814307164093,False
20,60,100,4,0,1,100,base,right,left,0,0,100,right,20,20,3.810408332934991,False
20,80,0,1,0,1,20,base,right,left,0,0,0,right,80,0,2.662132173589931,False
20,80,0,2,0,1,100,right,base,base,0,0,100,left,20,20,2.8606157812599573,False
20,80,0,4,0,1,20,base,right,right,0,0,0,left,80,0,0.0,True
20,80,20,1,0,1,100,left,base,right,0,0,100,base,20,20,6.210247721553111,False
20,80,20,2,0,1,100,base,left,base,0,0,100,left,20,20,3.3296485837143908,False
20,80,20,4,0,1,80,left,right,base,0,0,60,right,40,20,5.311430012123743,False
20,80,40,1,0,1,100,right,left,base,0,0,100,left,20,20,3.5844573801590065,False
20,80,40,2,0,1,100,base,left,right,0,0,100,left,20,20,1.9024672114250298,False
20,80,40,4,0,1,100,base,left,base,0,0,100,right,20,20,1.8294095740589416,False
20,80,60,1,0,1,60,right,base,right,0,0,40,base,60,0,1.1351820406354336,False
20,80,60,2,0,1,100,base,right,right,0,0,100,left,20,20,0.0,True
20,80,60,4,0,1,20,left,right,right,0,0,0,base,80,0,8.37917904327166,False
20,80,80,1,0,1,60,left,right,left,0,0,40,right,60,0,0.8464082759834715,False
20,80,80,2,0,1,20,left,base,left,0,0,0,base,80,0,3.2963424166353645,False
20,80,80,4,0,1,100,left,base,left,0,0,100,base,20,20,1.482709773404987,False
20,80,100,1,0,1,60,left,base,right,0,0,40,base,60,0,4.671645034396151,False
20,80,100,2,0,1,60,left,base,left,0,0,40,right,60,0,1.9033845752957699,False
20,80,100,4,0,1,60,base,right,right,0,0,40,left,60,0,1.9910618363465553,False
20,100,0,1,0,1,20,right,left,left,0,0,0,base,80,0,0.0,True
20,100,0,2,0,1,100,right,base,right,0,0,100,left,20,20,2.987476572420499,False
20,100,0,4,0,1,100,base,right,base,0,0,100,left,20,20,2.6152520836564634,False
20,100,20,1,0,1,20,right,left,right,0,0,0,left,80,0,0.7611928822102837,False
20,100,20,2,0,1,60,right,base,right,0,0,40,left,60,0,2.385030350874413,False
20,100,20,4,0,1,20,base,left,left,0,0,0,right,80,0,3.3178912194971115,False
20,100,40,1,0,1,60,right,left,left,0,0,40,base,60,0,2.8961322225082173,False
20,100,40,2,0,1,20,left,right,left,0,0,0,right,80,0,0.8475768982735264,False
20,100,40,4,0,1,100,left,right,right,0,0,100,base,20,20,0.0,True
20,100,60,1,0,1,20,base,right,base,0,0,0,right,80,0,2.151968594601401,False
20,100,60,2,0,1,20,right,left,right,0,0,0,base,80,0,0.0,True
20,100,60,4,0,1,60,base,right,left,0,0,40,right,60,0,3.331189487223303,False
20,100,80,1,0,1,20,base,left,base,0,0,0,right,80,0,2.2987648474815257,False
20,100,80,2,0,1,60,right,left,base,0,0,40,left,60,0,3.028572651384003,False
20,100,80,4,0,1,100,base,right,base,0,0,100,right,20,20,2.148990919084891,False
20,100,100,1,0,1,60,left,right,base,0,0,40,right,60,0,2.6302652993012474,False
20,100,100,2,0,1,60,base,left,left,0,0,40,right,60,0,3.0642102274080796,False
20,100,100,4,0,1,60,right,base,left,0,0,40,base,60,0,2.4816019123567714,False
40,0,0,1,0,1,100,right,left,right,0,0,100,left,20,20,0.9835732830024988,False
40,0,0,2,0,1,60,left,base,left,0,0,40,base,60,0,3.132650663264001,False
40,0,0,4,0,1,60,left,base,base,0,0,40,right,60,0,2.9858379799085073,False
40,0,20,1,0,1,60,left,right,left,0,0,40,base,60,0,5.699822792427516,False
40,0,20,2,0,1,100,right,base,left,0,0,100,base,20,20,3.2107353893403014,False
40,0,20,4,0,1,20,right,base,left,0,0,0,base,80,0,2.376365892241772,False
40,0,40,1,0,1,80,base,right,left,0,0,60,right,40,20,2.6626668342658677,False
40,0,40,2,0,1,20,left,base,right,0,0,0,base,80,0,6.016022349315448,False
40,0,40,4,0,1,100,right,base,right,0,0,100,base,20,20,0.0,True
40,0,60,1,0,1,80,left,base,base,0,0,60,right,40,20,2.4390119995664685,False
40,0,60,2,0,1,60,left,right,right,0,0,40,base,60,0,4.1150625295362495,False
40,0,60,4,0,1,100,right,left,right,0,0,100,base,20,20,1.635545463549496,False
40,0,80,1,0,1,60,right,left,right,0,0,40,left,60,0,0.7697956254793791,False
40,0,80,2,0,1,20,left,right,base,0,0,0,right,80,0,2.9194520899441265,False
40,0,80,4,0,1,80,base,left,base,0,0,60,left,40,20,2.6082876517361404,False
40,0,100,1,0,1,60,right,left,right,0,0,40,base,60,0,1.0969140688843217,False
40,0,100,2,0,1,20,right,base,base,0,0,0,left,80,0,2.124483844401393,False
40,0,100,4,0,1,60,base,left,base,0,0,40,right,60,0,1.7708326114562294,False
40,20,0,1,0,1,20,right,base,right,0,0,0,base,80,0,0.8860252033106141,False
40,20,0,2,0,1,60,base,right,base,0,0,40,right,60,0,2.0492478551460396,False
40,20,0,4,0,1,20,right,left,base,0,0,0,left,80,0,4.4990603750931255,False
40,20,20,1,0,1,60,base,right,base,0,0,40,left,60,0,1.2480769151158964,False
40,20,20,2,0,1,80,right,left,left,0,0,60,base,40,20,3.198574659524462,False
40,20,20,4,0,1,60,right,base,base,0,0,40,left,60,0,3.079503819320944,False
40,20,40,1,0,1,20,base,right,base,0,0,0,left,80,0,2.3316741018894964,False
40,20,40,2,0,1,20,left,right,left,0,0,0,base,80,0,5.0540106397879505,False
40,20,40,4,0,1,20,base,left,base,0,0,0,left,80,0,2.5730314806367547,False
40,20,60,1,0,1,60,base,left,base,0,0,40,left,60,0,2.20909226252898,False
40,20,60,2,0,1,40,base,left,base,0,0,20,right,60,0,2.2907568670389273,False
40,20,60,4,0,1,80,base,left,left,0,0,60,right,40,20,1.189530213208403,False
40,20,80,1,0,1,20,right,left,left,0,0,20,base,80,0,2.5443312749932354,False
40,20,80,2,0,1,80,base,left,right,0,0,60,left,40,20,3.023176419282693,False
40,20,80,4,0,1,40,base,right,base,0,0,20,right,60,0,2.507134680554917,False
40,20,100,1,0,1,40,base,right,base,0,0,20,left,60,0,2.4955991435635028,False
40,20,100,2,0,1,40,base,right,base,0,0,40,right,60,0,2.1817128622991957,False
40,20,100,4,0,1,20,left,right,left,0,0,20,right,80,0,3.2591560960246597,False
40,40,0,1,0,1,80,left,base,left,0,0,60,base,40,20,3.5447315651191813,False
40,40,0,2,0,1,20,left,base,left,0,0,20,right,80,0,2.290402737588843,False
40,40,0,4,0,1,60,base,left,right,0,0,40,left,60,0,2.263658679156006,False
40,40,20,1,0,1,80,right,base,left,0,0,60,base,40,20,2.2814663382606204,False
40,40,20,2,0,1,40,right,base,right,0,0,20,left,60,0,0.8474154491749806,False
40,40,20,4,0,1,40,right,left,left,0,0,20,base,60,0,2.94904379293729,False
40,40,40,1,0,1,80,right,left,right,0,0,60,left,40,20,0.9006592791468863,False
40,40,40,2,0,1,80,base,right,right,0,0,60,left,40,20,1.3881679833213747,False
40,40,40,4,0,1,20,base,left,right,0,0,20,left,80,0,0.0,True
40,40,60,1,0,1,80,right,base,right,0,0,60,left,40,20,0.8923092053022914,False
40,40,60,2,0,1,40,left,base,right,0,0,40,base,60,0,4.85289375233389,False
40,40,60,4,0,1,40,base,left,base,0,0,40,right,60,0,1.881485538475212,False
40,40,80,1,0,1,20,left,right,left,0,0,20,base,80,0,4.679021806742949,False
40,40,80,2,0,1,80,left,right,right,0,0,60,base,40,20,7.063831114501017,False
40,40,80,4,0,1,80,right,left,base,0,0,60,left,40,20,6.070298616810246,False
40,40,100,1,0,1,40,base,left,left,0,0,40,right,60,0,3.5109061323157698,False
40,40,100,2,0,1,40,left,base,base,0,0,40,right,60,0,3.925683907912739,False
40,40,100,4,0,1,80,base,right,base,0,0,60,right,40,20,2.2543903101888345,False
40,60,0,1,0,1,80,right,base,base,0,0,60,left,40,20,2.4940072284504073,False
40,60,0,2,0,1,80,left,base,right,0,0,60,base,40,20,7.054906542230352,False
40,60,0,4,0,1,80,left,base,left,0,0,60,right,40,20,4.440512453390885,False
40,60,20,1,0,1,80,base,right,base,0,0,60,left,40,20,2.797471155203687,False
40,60,20,2,0,1,20,left,base,right,0,0,20,base,80,0,4.708034049034067,False
40,60,20,4,0,1,80,right,base,right,0,0,60,base,40,20,0.0,True
40,60,40,1,0,1,40,left,base,left,0,0,40,right,60,0,2.4229441628522586,False
40,60,40,2,0,1,80,left,right,left,0,0,60,base,40,20,7.1947689492076465,False
40,60,40,4,0,1,40,right,base,base,0,0,40,left,60,0,3.347603915435431,False
40,60,60,1,0,1,20,left,right,right,0,0,20,base,80,0,5.95061337387438,False
40,60,60,2,0,1,20,base,left,left,0,0,20,right,80,0,3.0002679648945065,False
40,60,60,4,0,1,40,left,base,left,0,0,40,base,60,0,3.987929883507396,False
40,60,80,1,0,1,20,right,left,base,0,0,0,left,100,0,2.10225466399514,False
40,60,80,2,0,1,20,base,right,base,0,0,20,right,80,0,1.9926117329194588,False
40,60,80,4,0,1,20,base,left,base,0,0,20,right,80,0,1.8471079932506498,False
40,60,100,1,0,1,40,right,left,right,0,0,40,base,60,0,0.8906742737970463,False
40,60,100,2,0,1,100,left,base,base,0,0,80,right,20,20,1.458404355577932,False
40,60,100,4,0,1,40,base,left,right,0,0,20,left,60,0,2.1455404601535832,False
40,80,0,1,0,1,20,right,base,right,0,0,0,base,100,0,0.6723361754677101,False
40,80,0,2,0,1,20,right,base,base,0,0,20,left,80,0,2.7906508711372813,False
40,80,0,4,0,1,20,right,base,right,0,0,20,base,80,0,0.0,True
40,80,20,1,0,1,40,base,right,left,0,0,40,right,60,0,2.8888337761319107,False
40,80,20,2,0,1,20,left,base,left,0,0,20,base,60,0,3.0950373393542843,False
40,80,20,4,0,1,40,left,right,right,0,0,40,base,60,0,0.0,True
40,80,40,1,0,1,40,right,left,right,0,0,40,left,60,0,0.7604394596896559,False
40,80,40,2,0,1,40,right,base,left,0,0,40,base,60,0,1.845907189537341,False
40,80,40,4,0,1,20,right,base,left,0,0,20,base,80,0,2.677380910273229,False
40,80,60,1,0,1,20,base,right,left,0,0,20,right,80,0,3.030661230604489,False
40,80,60,2,0,1,40,base,right,right,0,0,20,left,60,0,2.5050693809394473,False
40,80,60,4,0,1,20,right,left,right,0,0,20,base,80,0,0.0,True
40,80,80,1,0,1,80,left,right,left,0,0,60,right,40,20,0.8223184515680958,False
40,80,80,2,0,1,0,base,left,base,0,0,0,right,80,0,1.9313131962402055,False
40,80,80,4,0,1,40,base,right,right,0,0,40,left,60,0,1.9734263780549013,False
40,80,100,1,0,1,80,right,left,right,0,0,60,base,40,20,0.8422526030375447,False
40,80,100,2,0,1,20,right,left,base,0,0,20,left,80,0,4.471927864874792,False
40,80,100,4,0,1,20,base,left,base,0,0,20,left,80,0,2.677269461362467,False
40,100,0,1,0,1,20,left,right,left,0,0,20,right,60,0,0.8372499619780681,False
40,100,0,2,0,1,40,left,base,left,0,0,20,base,60,0,2.999476558955895,False
40,100,0,4,0,1,80,left,base,left,0,0,80,right,40,0,3.3283978696693937,False
40,100,20,1,0,1,80,base,left,base,0,0,60,right,40,20,2.3147185820909226,False
40,100,20,2,0,1,0,left,base,left,0,0,0,base,80,0,3.315008999814812,False
40,100,20,4,0,1,40,base,right,left,0,0,20,right,60,0,2.2733754015044303,False
40,100,40,1,0,1,20,left,right,base,0,0,20,right,80,0,2.9176158441126456,False
40,100,40,2,0,1,20,left,base,right,0,0,0,base,100,0,5.578806797198821,False
40,100,40,4,0,1,40,left,right,left,0,0,40,base,60,0,1.7154077233748737,False
40,100,60,1,0,1,40,left,base,base,0,0,20,right,60,0,0.0,True
40,100,60,2,0,1,20,left,base,base,0,0,20,right,80,0,0.0,True
40,100,60,4,0,1,40,base,left,right,0,0,40,left,60,0,1.94024227080552,False
40,100,80,1,0,1,40,right,base,right,0,0,40,left,60,0,1.0777943155159018,False
40,100,80,2,0,1,40,left,right,base,0,0,40,right,60,0,2.440527743578041,False
40,100,80,4,0,1,20,base,right,base,0,0,0,left,100,0,2.909200887346202,False
40,100,100,1,0,1,100,left,right,base,0,0,80,right,20,20,2.8886706436469365,False
40,100,100,2,0,1,40,left,right,base,0,0,20,right,60,0,2.7365960919741945,False
