Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario88,c4,right,60,0.1,40,right,80,40,0,base,100,80,left,0,4.632160664224863,0
scenario89,c2,left,80,0.4,40,right,80,0,40,base,80,20,base,0,2.0192995534617526,0
scenario90,c1,right,60,0.2,100,base,0,80,100,right,0,60,left,0,5.634812208362327,0
scenario91,c4,base,60,1.0,40,left,0,0,100,base,20,60,right,0,3.4804865922651893,0
scenario92,c4,base,20,0.1,100,left,80,20,100,right,40,0,right,0,1.2472155771682445,0
scenario93,c1,right,60,1.0,60,base_left_lane,20,0,20,left,40,100,left,0,0.7658543448461308,0
scenario94,c2,left,100,0.8,100,right,80,100,80,left,60,100,base,0,3.321168787988632,0
scenario95,c1,left,0,0.4,20,left,20,40,20,right,0,0,base,0,3.5898366649734306,0
scenario96,c1,left,0,1.0,80,left,100,0,40,right,0,60,base,0,3.11835016353,0
scenario97,c1,right,60,0.6,40,left,60,60,20,right,0,20,base,0,3.924939420817188,0
scenario98,c4,right,0,0.6,60,right,60,20,40,base,40,20,left,1,0.0,1
scenario99,c1,right,80,0.8,60,base,0,100,40,right,60,80,left,0,5.009173938122548,0
scenario100,c2,left,60,0.8,20,right,40,80,0,base,60,40,base,0,2.342691180147724,0
scenario101,c4,base,0,0.4,20,right,40,40,80,base,40,0,left,1,0.0,1
scenario102,c4,right,20,0.2,0,right,60,80,40,base,0,40,left,1,0.0,1
scenario103,c4,base,80,0.2,0,left,100,60,100,right,100,100,right,1,0.0,1
scenario104,c4,base,100,0.1,20,left,80,40,60,right,20,80,right,0,1.1446448093249135,0
scenario105,c4,base,100,0.2,60,right,20,20,40,base,100,80,left,1,0.0,1
scenario106,c1,left,100,0.6,40,left,0,80,20,right,40,20,base,0,2.624691129799969,0
scenario107,c2,base,0,0.2,100,base_left_lane,20,20,100,left,20,20,right,0,4.278420822863789,0
scenario108,c4,right,60,1.0,20,right,60,60,100,base,0,80,left,0,4.234939091771145,0
scenario109,c4,base,80,0.2,0,left,60,40,40,base,80,0,right,0,2.075380920389122,0
scenario110,c2,left,100,0.6,0,base_left_lane,100,60,80,left,80,40,right,0,4.955332319045375,0
scenario111,c4,base,80,1.0,80,left,20,0,20,right,40,60,right,0,0.7618718308732488,0
scenario112,c1,right,100,0.4,0,left,60,0,40,right,40,100,base,0,2.9801565380895068,0
scenario113,c2,left,40,0.1,100,right,0,40,40,left,80,80,base,0,5.784961555197832,0
scenario114,c4,base,80,1.0,0,left,40,100,20,base,100,40,right,0,3.4536742680982577,0
scenario115,c4,right,20,0.8,20,right,100,80,0,base,80,20,left,0,4.790324400313963,0
scenario116,c1,right,0,0.8,20,left,20,20,80,right,0,20,base,0,2.415276362779996,0
scenario117,c1,left,20,0.6,80,left,60,0,100,right,100,100,base,0,2.4580638003954123,0
scenario118,c2,base,80,1.0,40,base_left_lane,40,0,60,left,60,60,right,0,3.5167612045700074,0
scenario119,c1,right,100,0.4,40,base,80,60,20,right,80,40,left,0,6.42289808966818,0
scenario120,c2,left,60,0.6,100,right,40,40,60,base,0,60,base,0,2.039489884424584,0
scenario121,c4,base,20,0.1,0,right,60,40,20,base,80,40,left,1,0.0,1
scenario122,c2,left,60,0.6,100,right,80,40,0,base,60,80,base,0,1.6862916871751914,0
scenario123,c1,right,100,0.8,80,base,0,80,100,right,0,80,left,0,4.5516057849964495,0
scenario124,c1,right,40,0.4,60,base_left_lane,80,100,80,left,0,100,left,0,0.774714428292903,0
scenario125,c2,left,0,1.0,100,right,40,0,20,left,20,40,base,0,4.3183156681468455,0
scenario126,c1,right,60,0.2,20,base_left_lane,60,20,80,left,0,60,left,0,0.7489827239665763,0
scenario127,c1,right,40,0.1,40,base,80,60,40,right,100,80,left,0,5.960145687269755,0
scenario128,c4,right,80,0.1,40,right,40,40,60,base,0,0,left,0,3.368474741158719,0
scenario129,c4,base,80,0.4,100,left,20,100,40,right,20,100,right,0,1.2469233039141474,0
scenario130,c2,base,100,0.1,80,base_left_lane,80,20,0,left,0,60,right,0,4.434113837948236,0
scenario131,c1,right,20,1.0,100,left,40,20,100,right,100,80,base,0,1.7800958178999753,0
scenario132,c2,left,80,0.8,40,right,80,80,60,left,80,0,base,0,2.907237754082549,0
scenario133,c4,base,20,0.4,80,left,100,80,80,right,60,20,right,0,1.1251505369474106,0
scenario134,c1,left,80,0.1,60,left,40,80,60,right,40,20,base,0,2.6189999531450345,0
scenario135,c2,base,20,1.0,80,base_left_lane,20,0,80,left,40,100,right,0,2.637473398769368,0
scenario136,c4,base,60,0.6,80,right,60,80,100,base,60,20,left,0,2.290354016071202,0
scenario137,c4,base,100,0.4,60,left,80,60,80,base,40,20,right,0,5.059326586015467,0
scenario138,c2,left,0,1.0,100,right,0,0,20,base,40,20,base,0,1.75586807695325,0
scenario139,c2,left,0,0.4,60,right,80,100,0,base,20,60,base,0,1.6948262475030642,0
scenario140,c4,base,80,0.8,100,left,100,60,40,base,60,80,right,0,25.6923828807872,0
scenario141,c2,base,20,0.6,100,base_left_lane,40,0,80,left,100,20,right,0,3.943644805635877,0
scenario142,c4,base,80,0.8,100,right,80,20,40,base,40,40,left,0,1.7526681830209208,0
scenario143,c4,base,20,0.2,20,left,20,80,60,base,80,80,right,0,3.355893015985448,0
scenario144,c1,left,40,0.1,60,left,60,80,40,right,0,100,base,0,2.3504008556572047,0
scenario145,c1,right,80,1.0,60,base_left_lane,0,100,0,left,40,20,left,0,0.8020180360962178,0
scenario146,c4,base,0,0.2,20,left,60,80,80,right,60,40,right,0,1.2504191311621309,0
scenario147,c4,right,60,0.6,80,right,0,80,20,base,20,0,left,0,4.527732421790425,0
scenario148,c4,base,40,0.6,80,right,80,100,0,base,80,0,left,0,3.240410157826602,0
scenario149,c4,right,0,0.2,0,right,20,40,80,base,40,0,left,0,4.482567828570226,0
scenario150,c1,right,20,0.4,40,left,40,40,100,right,20,60,base,0,2.7892932383492743,0
scenario151,c1,right,80,0.4,60,left,100,60,0,right,100,20,base,0,2.980473893563669,0
scenario152,c2,left,20,0.1,100,right,20,100,20,left,0,20,base,0,6.469686467837695,0
scenario153,c2,left,0,0.6,40,right,100,20,20,left,0,40,base,0,3.891360662629965,0
scenario154,c1,left,0,0.8,40,left,20,0,0,right,80,0,base,0,2.810909179330717,0
scenario155,c1,right,80,0.8,60,base_left_lane,60,100,80,left,0,80,left,0,0.7754045818347683,0
scenario156,c1,right,40,0.1,0,left,100,40,100,right,0,0,base,1,0.0,1
scenario157,c2,base,0,1.0,20,base_left_lane,80,40,40,left,20,60,right,0,4.54488392758064,0
scenario158,c4,base,80,0.2,20,left,100,60,20,right,100,80,right,0,1.103262885302776,0
scenario159,c2,left,100,0.4,0,right,80,100,60,base,20,0,base,0,1.8886821038957256,0
scenario160,c2,left,80,1.0,60,base_left_lane,40,20,60,left,60,40,right,0,3.6719604883300456,0
scenario161,c4,base,20,0.6,100,left,20,0,100,base,80,100,right,0,7.205466375158385,0
scenario162,c1,right,100,0.8,0,base,20,0,40,right,20,40,left,0,4.564667461446493,0
scenario163,c1,right,100,0.1,40,base_left_lane,60,100,80,left,40,40,left,0,0.7824121090027218,0
scenario164,c2,left,40,0.6,60,right,40,80,100,base,20,100,base,0,1.9358101214477603,0
scenario165,c2,left,60,0.1,80,base_left_lane,60,80,40,left,100,100,right,0,3.909894379632744,0
scenario166,c4,right,80,0.2,20,right,60,80,40,base,0,20,left,0,4.473163357242174,0
scenario167,c4,base,60,0.6,20,right,80,0,80,base,60,100,left,0,2.524613014116297,0
scenario168,c2,left,60,0.6,80,base_left_lane,40,60,60,left,40,60,right,0,3.3206386193312807,0
scenario169,c4,base,100,0.2,60,left,0,0,0,right,20,60,right,0,1.1856950672117292,0
scenario170,c4,base,40,1.0,100,left,20,100,0,right,40,0,right,0,1.2321271842461754,0
scenario171,c2,left,60,0.4,40,right,60,60,0,left,100,0,base,0,6.27427657159988,0
scenario172,c1,left,100,0.6,100,left,0,60,80,right,40,40,base,0,2.318331228752915,0
scenario173,c2,base,80,1.0,40,base_left_lane,40,20,40,left,0,0,right,0,3.936679183504557,0
scenario174,c2,left,60,0.8,0,base_left_lane,0,100,0,left,100,40,right,0,2.9610124117157794,0
scenario175,c1,right,80,0.8,0,left,0,20,60,right,0,60,base,1,0.0,1
scenario176,c4,base,20,0.1,80,right,100,60,20,base,100,0,left,0,3.412880154549913,0
scenario177,c1,left,80,0.4,60,left,100,20,60,right,80,40,base,0,2.586866492454793,0
scenario178,c2,left,60,0.8,40,right,80,80,100,base,20,40,base,0,1.7112286663797842,0
scenario179,c4,base,20,0.1,40,left,100,40,60,base,80,60,right,0,3.655974729003761,0
scenario180,c1,right,80,0.6,80,base,20,40,100,right,40,100,left,0,5.507019801181717,0
scenario181,c1,right,60,0.4,20,base_left_lane,60,40,20,left,60,100,left,0,0.6924787037833644,0
scenario182,c2,left,20,1.0,60,right,60,80,80,base,100,80,base,1,0.0,1
scenario183,c1,right,60,1.0,60,base_left_lane,40,80,40,left,40,100,left,0,0.8481118235843402,0
scenario184,c4,base,40,0.2,60,left,20,20,100,right,100,100,right,0,1.1614035263815956,0
scenario185,c4,base,100,0.6,0,right,100,0,20,base,80,60,left,1,0.0,1
scenario186,c1,right,100,0.4,0,left,80,80,20,right,0,100,base,0,3.4805057281879512,0
scenario187,c4,base,20,0.1,100,left,60,40,80,base,0,20,right,0,32.00789812548163,0
scenario188,c4,base,0,0.2,20,left,20,100,100,base,80,80,right,0,3.46119477140506,0
scenario189,c2,left,40,0.6,60,right,0,20,0,left,20,60,base,0,3.592728006806708,0
scenario190,c2,left,80,0.1,80,right,20,40,20,left,20,80,base,0,6.771632203003284,0
scenario191,c1,right,0,0.4,80,base,40,20,40,right,40,40,left,0,4.853208500721672,0
scenario192,c1,left,80,0.6,100,left,100,100,40,right,100,20,base,0,2.8742646207786025,0
scenario193,c1,right,20,0.8,100,left,40,80,40,right,20,40,base,0,3.5177766911813,0
scenario194,c2,base,0,0.2,40,base_left_lane,80,60,20,left,20,80,right,0,3.47774100514717,0
scenario195,c4,base,40,0.2,100,left,40,80,40,right,60,100,right,0,1.2482110754112918,0
scenario196,c4,base,60,0.8,0,right,40,20,100,base,0,0,left,0,2.634303217000032,0
scenario197,c4,base,20,0.1,0,left,20,0,80,right,60,40,right,0,1.0888918331164714,0
scenario198,c4,base,100,0.4,0,left,20,80,100,base,0,0,right,0,4.644400640090831,0
scenario199,c4,right,100,0.2,80,right,60,60,80,base,0,60,left,0,4.718321072621701,0
scenario200,c4,right,40,1.0,80,right,20,40,0,base,20,100,left,0,4.654010004635517,0
scenario201,c2,left,40,0.6,20,right,80,80,80,left,60,0,base,0,3.0057577686779715,0
scenario202,c2,left,100,1.0,80,right,40,100,100,left,40,100,base,0,3.325737692778772,0
scenario203,c1,right,20,0.6,40,base,0,80,20,right,80,20,left,0,7.471560187649126,0
scenario204,c4,base,0,1.0,100,left,100,60,60,base,20,0,right,0,24.486946926585976,0
scenario205,c1,right,0,0.2,100,base_left_lane,80,60,40,left,100,40,left,0,0.9652476330968616,0
scenario206,c2,left,100,1.0,80,right,0,0,40,base,100,40,base,0,2.2915930927905626,0
scenario207,c2,base,0,0.6,40,base_left_lane,60,40,0,left,60,60,right,0,4.214204242980463,0
scenario208,c2,left,100,0.6,40,base_left_lane,80,80,100,left,20,60,right,0,3.751561811731402,0
scenario209,c2,base,40,0.4,20,base_left_lane,100,20,60,left,0,20,right,0,3.666454238811454,0
scenario210,c1,right,60,0.1,0,left,0,100,100,right,0,80,base,0,3.046666965076028,0
scenario211,c4,base,20,1.0,40,right,0,40,60,base,100,20,left,0,2.356845626346445,0
scenario212,c4,right,80,0.1,80,right,60,20,0,base,40,60,left,1,0.0,1
scenario213,c2,left,60,0.2,100,right,60,80,0,base,20,40,base,0,2.193070111032669,0
scenario214,c1,right,40,0.6,100,left,100,40,20,right,0,0,base,0,2.570679141262251,0
scenario215,c2,base,20,0.2,40,base_left_lane,80,40,20,left,20,40,right,0,5.005028743854801,0
scenario216,c4,right,0,1.0,60,right,20,0,20,base,100,60,left,0,2.269065090676579,0
scenario217,c4,base,20,0.2,80,right,0,20,0,base,80,0,left,0,3.576915787034257,0
scenario218,c2,base,20,0.1,100,base_left_lane,80,20,60,left,80,60,right,0,3.477798110482435,0
scenario219,c4,base,40,1.0,0,left,60,0,20,right,100,60,right,0,1.097492429852203,0
scenario220,c2,left,40,0.1,20,right,0,80,0,left,80,20,base,0,4.046794716443072,0
scenario221,c4,base,60,0.2,0,left,40,60,20,base,20,100,right,0,2.766199928782218,0
scenario222,c1,right,100,0.8,0,base_left_lane,60,0,60,left,100,100,left,0,0.9104877797001352,0
scenario223,c1,left,20,0.2,40,left,100,40,0,right,60,80,base,0,2.7928016465263457,0
scenario224,c1,right,100,1.0,80,base,0,40,100,right,80,20,left,0,5.414733475902589,0
scenario225,c1,right,100,1.0,20,base,80,100,80,right,20,80,left,0,5.258401943317146,0
scenario226,c2,left,100,0.4,80,right,80,0,100,left,20,20,base,0,3.1521765301503666,0
scenario227,c2,left,80,0.8,60,right,40,20,40,base,0,0,base,0,2.063638416567097,0
scenario228,c4,right,80,0.4,20,right,100,0,0,base,80,0,left,0,4.251087751868146,0
scenario229,c4,base,0,0.1,100,left,0,0,40,right,80,20,right,0,1.2771501550647528,0
scenario230,c1,right,80,0.8,100,base,40,40,100,right,100,60,left,0,6.206733750948873,0
scenario231,c1,left,60,0.2,20,left,20,60,0,right,40,60,base,0,2.91815496297901,0
scenario232,c1,left,20,0.6,0,left,60,0,80,right,80,100,base,0,2.1605867629179776,0
scenario233,c2,left,40,1.0,60,right,0,40,40,base,60,100,base,0,1.852758646769629,0
scenario234,c4,base,40,0.4,80,right,60,100,60,base,20,80,left,0,3.3104777794746942,0
scenario235,c1,left,0,0.2,40,left,0,80,20,right,0,40,base,0,2.8145115238101472,0
scenario236,c2,base,80,0.1,0,base_left_lane,20,100,40,left,80,100,right,0,2.789623180840453,0
scenario237,c4,base,60,0.4,60,left,100,80,80,right,40,0,right,0,1.2662951260296629,0
scenario238,c1,right,80,0.8,20,left,20,0,20,right,40,60,base,0,3.489376233887202,0
scenario239,c1,right,0,1.0,80,base_left_lane,100,100,80,left,60,0,left,0,0.8227457662124037,0
scenario240,c4,base,100,0.6,60,left,20,80,40,base,60,40,right,0,3.6171513132281214,0
scenario241,c4,base,100,0.6,40,left,40,100,100,base,40,20,right,0,3.467262586938856,0
scenario242,c4,base,80,0.1,100,left,0,100,40,base,0,80,right,0,33.98574491240068,0
scenario243,c1,right,0,0.6,100,base_left_lane,100,60,20,left,80,60,left,0,0.7838086468594708,0
scenario244,c2,left,100,0.1,80,right,20,0,40,left,60,80,base,0,3.0811973237795005,0
scenario245,c2,left,40,0.8,0,base_left_lane,20,80,100,left,60,80,right,0,2.8556660824782,0
scenario246,c4,base,40,1.0,40,right,20,100,80,base,40,0,left,1,0.0,1
scenario247,c1,right,20,0.1,20,left,0,80,0,right,100,100,base,0,2.2055784218048875,0
scenario248,c2,base,0,0.4,0,base_left_lane,60,80,60,left,60,0,right,0,2.169548390420004,0
scenario249,c4,base,80,0.6,40,right,60,0,20,base,40,40,left,0,2.7194041060860124,0
scenario250,c4,base,60,1.0,60,left,80,100,0,right,0,40,right,0,1.030816869463895,0
scenario251,c1,left,80,0.8,20,left,0,80,100,right,60,40,base,0,3.253245503419307,0
scenario252,c4,right,100,0.6,20,right,80,20,100,base,0,60,left,0,4.405129836472471,0
scenario253,c1,right,100,0.8,20,base,20,60,40,right,0,20,left,0,6.05719255088873,0
scenario254,c4,base,40,0.4,60,left,100,0,0,base,20,60,right,0,27.76488606434948,0
scenario255,c4,base,40,0.2,80,left,0,20,40,base,60,20,right,0,15.599327074018776,0
scenario256,c1,right,100,0.6,60,base_left_lane,80,40,80,left,40,60,left,0,0.8580017990565524,0
scenario257,c2,left,60,0.2,20,right,60,60,60,base,80,20,base,1,0.0,1
scenario258,c1,left,40,0.4,80,left,20,40,40,right,100,60,base,0,2.574740721790596,0
scenario259,c1,right,0,0.1,20,left,80,40,0,right,0,20,base,1,0.0,1
scenario260,c2,left,100,0.2,60,right,0,0,60,left,80,40,base,0,4.180957501618639,0
scenario261,c1,right,0,1.0,0,left,100,0,20,right,80,40,base,0,3.113852588287608,0
scenario262,c1,left,20,0.1,100,left,40,40,40,right,40,0,base,0,1.455226625702336,0
scenario263,c4,base,20,1.0,40,left,80,60,100,base,40,80,right,0,3.444047850319503,0
scenario264,c4,base,100,1.0,60,left,60,100,60,right,40,100,right,0,1.0791418943687312,0
scenario265,c2,left,40,0.8,40,right,40,60,0,base,20,20,base,0,2.178434873608729,0
scenario266,c4,right,60,1.0,40,right,40,20,100,base,20,40,left,0,3.0616637621116585,0
scenario267,c4,base,60,0.6,60,left,0,20,20,right,0,0,right,0,0.8436242012446237,0
scenario268,c4,right,80,0.1,0,right,40,40,40,base,80,60,left,0,3.295507215795447,0
scenario269,c2,base,80,0.2,100,base_left_lane,40,20,80,left,100,100,right,0,3.4606256055340374,0
scenario270,c2,base,100,0.6,100,base_left_lane,80,60,60,left,60,100,right,0,5.252374072131848,0
scenario271,c2,left,0,0.4,80,right,100,100,20,base,20,100,base,0,1.8197847217324048,0
scenario272,c4,base,0,0.1,80,left,60,80,60,base,100,60,right,0,9.878625270748222,0
scenario273,c1,right,20,0.6,100,base,80,80,80,right,40,60,left,0,6.783604654368311,0
scenario274,c4,base,80,0.4,80,left,40,80,80,right,100,100,right,1,0.0,1
scenario275,c2,left,80,1.0,0,right,0,0,80,base,100,20,base,0,1.9075611538411368,0
scenario276,c4,base,20,0.1,40,right,40,100,20,base,20,40,left,0,3.2165197855314096,0
scenario277,c1,right,40,0.8,0,left,0,80,0,right,80,80,base,0,2.32045012800758,0
scenario278,c1,right,60,0.2,60,base_left_lane,100,0,80,left,60,60,left,0,1.0788885314163796,0
scenario279,c4,base,80,0.1,0,right,0,40,80,base,80,20,left,0,3.391489718238944,0
scenario280,c1,right,40,0.1,0,base,40,20,40,right,20,100,left,0,5.401478147670281,0
scenario281,c1,left,20,1.0,60,left,100,40,100,right,60,100,base,0,3.2205028687782145,0
scenario282,c4,base,100,0.8,60,left,80,100,100,base,100,80,right,0,3.749634503603072,0
scenario283,c4,base,40,0.6,20,left,100,80,80,right,20,60,right,0,1.2371005548001208,0
scenario284,c1,right,0,0.8,20,left,100,60,40,right,40,20,base,0,2.98673620830219,0
scenario285,c2,left,0,0.4,20,right,20,0,0,base,0,0,base,0,1.7447217909592554,0
scenario286,c2,base,40,0.4,80,base_left_lane,40,0,40,left,20,100,right,0,3.5587885661413377,0
scenario287,c1,right,0,0.6,40,base_left_lane,40,100,80,left,60,20,left,0,0.7211680774403845,0
scenario288,c2,left,20,1.0,80,right,0,20,100,left,40,0,base,0,3.26068441378138,0
