Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario95,c1,base,left,left,right,60,20,0,20,80,0,20,0.4,False,2.429,0
scenario96,c1,base,right,left,right,40,20,0,100,80,40,20,0.1,False,6.085,0
scenario97,c4,left,base,right,base,40,0,0,20,60,20,20,0.2,False,3.409,0
scenario98,c4,left,right,right,base,60,0,0,0,60,20,0,0.1,True,0.0,1
scenario99,c1,left,right,base,right,40,0,20,20,20,40,40,0.1,False,8.493,0
scenario100,c1,left,right,base,right,0,20,0,0,100,20,60,0.4,False,8.284,0
scenario101,c2,base,left,right,base,60,0,0,20,60,40,40,0.4,False,2.06,0
scenario102,c4,right,base,left,base,40,0,20,0,20,20,60,0.8,False,107.331,0
scenario103,c4,left,base,right,base,40,100,0,40,80,20,20,0.4,False,7.404,0
scenario104,c4,left,base,right,base,20,0,20,20,60,0,20,0.1,False,2.573,0
scenario105,c2,base,left,right,left,60,0,0,40,60,20,0,0.4,False,3.454,0
scenario106,c1,left,right,base,right,60,0,20,20,40,20,40,0.1,False,24.343,0
scenario107,c1,base,right,left,right,60,20,0,40,60,0,40,0.4,False,3.804,0
scenario108,c1,base,right,left,right,60,20,0,100,80,100,20,0.6,False,4.707,0
scenario109,c4,left,right,right,base,60,0,0,0,60,20,0,0.1,False,3.222,0
scenario110,c2,base,left,right,left,60,0,0,20,0,40,20,0.6,False,6.258,0
scenario111,c1,left,right,base,left,60,0,0,20,80,0,0,0.4,False,5.6,0
scenario112,c1,base,right,left,right,60,20,0,40,40,0,20,0.6,False,17.479,0
scenario113,c4,left,right,right,base,60,0,0,0,40,40,40,0.1,False,4.908,0
scenario114,c1,left,right,base,right,40,0,20,20,40,60,0,0.1,False,8.39,0
scenario115,c1,base,right,left,right,40,0,0,20,80,20,0,0.8,True,0.0,1
scenario116,c1,left,right,base,left,40,0,40,0,60,20,20,0.1,False,5.918,0
scenario117,c2,base,left,right,left,60,0,0,20,0,20,40,0.8,False,6.239,0
scenario118,c1,left,right,base,left,20,20,0,0,40,60,40,0.1,False,11.64,0
scenario119,c4,left,base,right,base,40,100,20,60,80,40,0,0.6,True,0.0,1
scenario120,c4,right,base,left,base,0,0,40,60,80,80,0,0.1,False,3156.969,0
scenario121,c1,base,right,left,right,40,0,0,20,80,20,0,0.8,False,3.71,0
scenario122,c2,right,left,base,left,40,0,20,80,80,0,0,0.4,True,0.0,1
scenario123,c2,right,left,base,left,80,20,0,0,60,40,0,0.1,False,2.832,0
scenario124,c4,left,right,right,base,40,0,40,40,60,60,0,0.1,False,3.792,0
scenario125,c4,left,base,right,base,60,0,20,0,80,40,80,0.1,False,2.689,0
scenario126,c2,base,left,right,left,20,40,60,0,60,40,40,0.1,False,3.944,0
scenario127,c1,left,right,base,left,0,20,20,0,20,60,40,0.2,False,5.188,0
scenario128,c1,base,left,left,right,40,20,0,0,20,80,100,0.1,False,2.548,0
scenario129,c1,base,right,left,right,60,0,60,40,0,80,0,0.6,False,5.993,0
scenario130,c4,left,right,right,base,40,100,60,60,80,80,20,0.4,True,0.0,1
scenario131,c4,right,base,left,base,20,100,20,40,100,60,0,0.4,False,3.626,0
scenario132,c1,left,right,base,left,20,0,20,20,20,20,40,0.1,False,11.291,0
scenario133,c2,right,left,base,left,40,0,20,80,80,0,0,0.4,False,3.161,0
scenario134,c1,base,left,left,right,40,40,0,0,0,80,100,0.1,False,5.979,0
scenario135,c1,left,right,base,right,60,20,20,0,80,60,80,0.2,False,11.705,0
scenario136,c1,base,right,left,right,40,0,0,40,100,60,0,1.0,False,3.207,0
scenario137,c4,left,right,right,base,80,0,20,0,80,40,60,0.1,False,4.834,0
scenario138,c2,right,left,base,left,40,0,0,100,100,0,20,0.2,False,2.82,0
scenario139,c1,left,right,base,left,100,0,0,0,40,100,100,0.1,False,5.904,0
scenario140,c4,right,base,left,right,20,40,0,0,40,100,100,1.0,False,0.807,0
scenario141,c1,base,left,left,right,20,100,40,100,80,40,0,0.4,False,2.749,0
scenario142,c4,right,base,left,right,40,0,0,0,20,20,80,0.2,False,1.176,0
scenario143,c4,right,base,left,base,20,0,40,40,60,0,0,0.1,False,20.467,0
scenario144,c4,left,right,right,base,20,40,80,0,60,100,100,0.2,False,4.738,0
scenario145,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,False,2881.582,0
scenario146,c1,base,left,left,right,0,0,0,80,40,20,20,0.8,False,2.542,0
scenario147,c2,base,left,right,left,100,0,40,40,40,20,0,0.6,False,3.016,0
scenario148,c4,left,base,right,base,100,20,80,20,80,100,40,1.0,False,3.131,0
scenario149,c1,left,right,base,right,20,0,0,20,80,20,80,0.2,False,8.341,0
scenario150,c2,base,left,right,base,20,20,20,40,80,40,100,0.1,False,2.014,0
