Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario85,20,20,80,0,0,0.8,100,0,0,80,80,c1,1e-05,base,left,left,right,0,2.2800376351004203,0
scenario86,40,40,0,0,80,0.4,20,0,0,80,80,c2,1e-05,base,left,right,left,0,3.171984657087546,0
scenario87,20,60,0,0,20,0.8,40,60,0,80,80,c4,1e-05,right,base,left,right,0,1.127315667000124,0
scenario88,80,100,0,60,40,0.6,40,60,0,80,100,c1,1e-05,left,right,base,left,0,6.508726218734129,0
scenario89,20,100,0,80,100,0.1,0,100,0,80,100,c2,1e-05,right,left,base,left,0,2.3460388137843764,0
scenario90,40,100,80,100,40,0.6,40,60,0,80,100,c4,1e-05,right,base,left,base,0,16.6283574160467,0
scenario91,20,60,20,40,0,0.6,100,0,0,100,0,c1,1e-05,base,right,left,right,0,2.90398359405232,0
scenario92,0,100,0,0,60,0.8,20,80,0,100,0,c2,1e-05,right,base,base,left,0,3.152062840691522,0
scenario93,60,20,80,0,80,0.4,20,80,0,100,0,c4,1e-05,left,base,right,base,0,4.020568864618092,0
scenario94,60,60,60,40,40,0.8,0,100,0,100,20,c1,1e-05,left,right,base,right,0,6.238624282798031,0
scenario95,60,60,20,20,60,0.2,40,60,0,100,20,c2,1e-05,base,left,right,base,0,2.291410410821618,0
scenario96,20,60,20,20,60,0.2,100,0,0,100,20,c4,1e-05,left,right,right,base,0,4.608067594800397,0
scenario97,40,40,20,100,40,0.6,100,60,0,100,40,c1,1e-05,base,left,left,right,0,2.585790394291591,0
scenario98,20,20,0,100,100,0.1,80,20,0,100,40,c2,1e-05,base,left,right,left,0,3.187543847160766,0
scenario99,20,100,40,60,40,0.6,100,0,0,100,40,c4,1e-05,right,base,left,right,0,1.179749477669058,0
scenario100,20,60,60,0,0,0.4,0,100,0,100,60,c1,1e-05,left,right,base,left,0,6.110238897791182,0
scenario101,80,60,20,20,40,0.8,100,0,0,100,60,c2,1e-05,right,left,base,left,0,3.1058967165268854,0
scenario102,60,60,0,0,0,0.4,80,20,0,100,60,c4,1e-05,right,base,left,base,0,2.591543323864528,0
scenario103,60,100,40,0,80,0.4,60,40,0,100,80,c1,1e-05,base,right,left,right,0,2.632983396138261,0
scenario104,0,60,100,100,40,0.6,40,60,0,100,80,c2,1e-05,right,base,base,left,0,2.1900203094392205,0
scenario105,20,20,40,100,0,0.6,40,60,0,100,80,c4,1e-05,left,base,right,base,0,2.9064881134972995,0
scenario106,20,80,40,60,0,0.6,0,100,0,100,100,c1,1e-05,left,right,base,right,0,5.808960838091703,0
scenario107,80,20,0,0,0,0.8,40,60,0,100,100,c2,1e-05,base,left,right,base,0,2.31427127906714,0
scenario108,20,60,20,20,40,0.8,20,20,0,100,100,c4,1e-05,left,right,right,base,0,3.706336446590124,0
scenario109,80,80,0,100,40,0.6,80,20,20,0,0,c1,1e-05,base,left,left,right,0,2.458791726079488,0
scenario110,40,80,20,60,20,0.6,40,60,20,0,0,c2,1e-05,base,left,right,left,0,4.260973307374036,0
scenario111,40,80,60,40,40,0.8,60,40,20,0,0,c4,1e-05,right,base,left,right,1,0.0,1
scenario112,20,40,100,100,40,0.6,80,20,20,0,20,c1,1e-05,left,right,base,left,0,5.761314002283523,0
scenario113,80,60,0,0,40,0.4,0,100,20,0,20,c2,1e-05,right,left,base,left,0,3.209633332539752,0
scenario114,80,40,0,40,80,0.8,0,100,20,0,20,c4,1e-05,right,base,left,base,0,8.198527226653855,0
scenario115,60,100,40,100,0,0.6,60,40,20,0,40,c1,1e-05,base,right,left,right,0,2.8726251260584807,0
scenario116,60,60,60,100,100,0.1,40,60,20,0,40,c2,1e-05,right,base,base,left,0,2.476651245663489,0
scenario117,60,40,20,100,0,0.6,20,80,20,0,40,c4,1e-05,left,base,right,base,0,3.899639876854012,0
scenario118,40,60,20,0,20,0.8,0,100,20,0,60,c1,1e-05,left,right,base,right,0,5.719706864493169,0
scenario119,80,100,0,0,80,0.4,40,60,20,0,60,c2,1e-05,base,left,right,base,0,2.074083967889674,0
scenario120,20,60,0,0,0,0.8,0,20,20,0,60,c4,1e-05,left,right,right,base,1,0.0,1
scenario121,20,80,80,20,40,0.8,100,0,20,0,80,c1,1e-05,base,left,left,right,0,2.9550754270753856,0
scenario122,80,40,40,0,100,0.6,0,100,20,0,80,c2,1e-05,base,left,right,left,0,6.047888690381033,0
scenario123,20,60,60,0,80,0.8,100,0,20,0,80,c4,1e-05,right,base,left,right,0,0.9508533908620008,0
scenario124,60,40,0,60,60,0.6,40,60,20,0,100,c1,1e-05,left,right,base,left,0,6.345105344952825,0
scenario125,20,20,0,0,0,0.4,80,20,20,0,100,c2,1e-05,right,left,base,left,0,3.2355504294376702,0
scenario126,0,80,0,40,40,0.6,0,100,20,0,100,c4,1e-05,right,base,left,base,0,15.449065525228873,0
scenario127,0,20,0,0,100,0.6,80,20,20,20,0,c1,1e-05,base,right,left,right,1,0.0,1
scenario128,60,40,20,80,100,0.6,60,40,20,20,0,c2,1e-05,right,base,base,left,0,2.263411876880254,0
scenario129,20,100,60,100,100,0.6,40,60,20,20,0,c4,1e-05,left,base,right,base,1,0.0,1
scenario130,20,20,20,20,0,0.8,0,100,20,20,20,c1,1e-05,left,right,base,right,0,5.965458259064028,0
scenario131,20,20,60,0,40,0.8,0,100,20,20,20,c2,1e-05,base,left,right,base,0,2.2631035236298307,0
scenario132,40,80,20,60,100,0.6,40,60,20,20,20,c4,1e-05,left,right,right,base,0,3.340208462616077,0
scenario133,60,40,100,0,0,0.8,20,80,20,20,40,c1,1e-05,base,left,left,right,0,2.7747764933822303,0
scenario134,80,100,60,60,40,0.6,40,60,20,20,40,c2,1e-05,base,left,right,left,0,3.7418171974881096,0
scenario135,60,60,60,0,80,0.6,40,60,20,20,40,c4,1e-05,right,base,left,right,0,1.0747692096593684,0
