Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario91,c2,right,left,base,left,0.8,20,40,20,40,40,100,0,0,2.458179795364801,0
scenario92,c2,base,left,right,left,0.8,60,20,20,100,20,80,60,0,3.1499244099424084,0
scenario93,c2,right,left,base,left,1.0,100,60,80,60,40,40,100,0,3.435411882529689,0
scenario94,c1,left,right,base,right,0.1,20,40,100,20,40,40,20,0,5.3633321489383246,0
scenario95,c2,base,left,right,left,0.2,0,0,60,80,0,100,100,0,2.7239131935236176,0
scenario96,c1,base,right,left,right,0.8,80,100,100,20,0,20,20,0,2.991168111660644,0
scenario97,c1,base,right,left,right,0.2,100,60,80,80,100,20,0,0,1.6883440706276476,0
scenario98,c4,left,base,right,base,0.6,0,0,80,40,40,60,80,0,2.8397085433255085,0
scenario99,c1,left,right,base,right,1.0,80,40,60,40,20,40,40,0,5.480830587705983,0
scenario100,c4,left,right,right,base,0.2,100,100,40,20,0,40,80,0,2.1673482721100514,0
scenario101,c4,right,base,left,base,0.2,0,40,100,40,0,0,20,0,587.574124468347,0
scenario102,c2,base,left,right,left,1.0,80,80,100,0,80,80,20,0,3.08930376934504,0
scenario103,c2,base,left,right,base,0.2,100,20,80,40,80,0,100,0,1.9918435456465209,0
scenario104,c1,base,left,left,right,1.0,60,60,60,20,60,80,40,0,3.100198666178731,0
scenario105,c2,right,base,base,left,1.0,0,20,40,20,40,60,60,0,3.1110314342751906,0
scenario106,c4,left,base,right,base,0.1,0,20,0,0,100,100,0,0,3.358856697650083,0
scenario107,c4,left,right,right,base,0.4,100,20,20,20,60,60,100,0,2.31488797013148,0
scenario108,c2,base,left,right,left,0.8,80,100,40,40,80,80,80,0,2.3896545595175707,0
scenario109,c2,base,left,right,base,0.2,40,80,60,0,60,0,0,0,2.2175804843609868,0
scenario110,c1,base,right,left,right,0.2,0,20,80,60,60,40,40,0,2.686446089878952,0
scenario111,c2,right,base,base,left,0.6,60,100,100,100,100,60,20,0,2.1825333014211403,0
scenario112,c1,left,right,base,right,0.1,40,60,60,60,0,40,60,0,6.182667061500408,0
scenario113,c1,left,right,base,right,0.8,40,80,80,20,100,0,40,0,5.181883914558766,0
scenario114,c1,base,left,left,right,0.1,100,60,40,0,40,0,80,0,2.5198287058513187,0
scenario115,c1,left,right,base,left,0.6,100,40,20,60,100,100,60,0,5.888736702683087,0
scenario116,c4,left,base,right,base,0.6,40,80,80,80,20,80,20,0,2.675246320724473,0
