Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario83,40,100,0,20,40,0.8,0,100,0,80,60,c2,0.00259,right,left,base,left,0,3.053011259295505,0
scenario84,60,20,0,40,40,0.8,0,100,0,80,60,c4,0.00126,right,base,left,base,0,17.99265386699642,0
scenario85,40,80,0,0,0,0.8,80,20,0,80,80,c1,0.00205,left,right,base,left,0,4.799766165004868,0
scenario86,20,40,0,0,20,0.8,0,100,0,80,80,c2,0.00204,base,left,right,base,0,2.2673750730746685,0
scenario87,60,40,0,0,0,0.8,80,20,0,80,80,c4,0.002,right,base,left,right,0,1.2356497828379804,0
scenario88,20,80,0,0,80,0.4,80,20,0,80,100,c1,0.00191,left,right,base,right,0,4.356254978288468,0
scenario89,80,40,0,0,0,0.8,0,100,0,80,100,c2,0.00173,right,base,base,left,0,2.400266376832401,0
scenario90,20,40,0,80,40,0.6,0,100,0,80,100,c4,0.00175,left,base,right,base,0,2.699230219227758,0
scenario91,40,60,0,0,0,0.8,80,20,0,100,0,c1,0.0019,base,right,left,right,0,3.0202839966615853,0
scenario92,20,80,0,80,40,0.6,0,100,0,100,0,c2,0.00169,base,left,right,left,0,4.763386184426352,0
scenario93,20,80,0,0,100,0.2,0,100,0,100,0,c4,0.00152,left,right,right,base,0,2.8349266108243225,0
scenario94,60,40,0,0,80,0.4,0,100,0,100,20,c1,0.0017,base,left,left,right,0,3.3363128645378133,0
scenario95,20,40,20,0,0,0.8,0,100,0,100,20,c2,0.00153,right,left,base,left,0,3.772043675695702,0
scenario96,20,100,0,0,20,0.8,0,100,0,100,20,c4,0.00165,right,base,left,base,0,30.668147768971817,0
scenario97,20,60,0,0,100,0.2,0,100,0,100,40,c1,0.00163,left,right,base,left,0,6.244106175831078,0
scenario98,40,20,0,0,80,0.4,0,100,0,100,40,c2,0.00161,base,left,right,base,0,2.357807715464212,0
scenario99,20,100,0,20,40,0.8,80,20,0,100,40,c4,0.00148,right,base,left,right,0,1.3098830730490607,0
scenario100,80,80,0,0,0,0.8,0,100,0,100,60,c1,0.00142,left,right,base,right,0,5.913717459377562,0
scenario101,20,80,20,0,0,0.8,0,100,0,100,60,c2,0.00163,right,base,base,left,0,3.05724604628548,0
scenario102,20,60,0,0,80,0.4,80,20,0,100,60,c4,0.00136,left,base,right,base,0,3.517491951621017,0
scenario103,40,60,0,0,80,0.4,0,100,0,100,80,c1,0.00145,base,right,left,right,0,3.69515473851376,0
scenario104,40,20,0,0,0,0.8,80,20,0,100,80,c2,0.00126,base,left,right,left,0,3.316580113743958,0
scenario105,40,80,0,0,80,0.4,0,100,0,100,80,c4,0.00153,left,right,right,base,1,0.0,1
scenario106,60,100,0,0,80,0.4,0,100,0,100,100,c1,0.0014,base,left,left,right,0,2.501338769760509,0
scenario107,20,40,0,40,40,0.8,0,100,0,100,100,c2,0.00278,right,left,base,left,0,3.286982914252082,0
