instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario80,90,20,20,100,0,0,0.8,0,100,0,80,40,c2,1e-05,2,0,0,1,0,0.6444679323459473,0
scenario81,-60,20,100,20,0,0,0.6,40,60,0,80,40,c4,1e-05,2,0,1,2,0,2.618204631130795,0
scenario82,0,40,20,20,100,60,0.6,0,100,0,80,60,c1,1e-05,1,2,0,1,0,1715.765400631509,0
scenario83,30,20,20,60,0,0,0.8,0,100,0,80,60,c2,1e-05,0,1,2,1,0,3.292283863477965,0
scenario84,-30,60,40,100,0,0,0.8,0,100,0,80,60,c4,1e-05,1,0,2,0,0,9999.0,0
scenario85,-90,60,40,0,0,60,0.8,0,100,0,80,80,c1,1e-05,0,1,1,2,1,9999.0,1
scenario86,-90,80,80,0,100,40,0.4,0,100,0,80,80,c2,1e-05,0,1,2,0,0,3.201876793099509,0
scenario87,60,60,80,40,0,80,0.2,40,60,0,80,80,c4,1e-05,2,0,1,0,0,1.0183001015655662,0
scenario88,-30,60,20,20,80,40,0.6,40,60,0,80,100,c1,1e-05,0,2,1,2,0,2.931218416968713,0
scenario89,60,40,20,80,0,0,0.8,100,0,0,80,100,c2,1e-05,2,1,0,1,0,1.029012157631568,0
scenario90,-90,20,100,0,0,60,0.4,80,20,0,80,100,c4,1e-05,1,2,2,0,0,1.789645105660511,0
scenario91,90,60,100,60,40,40,0.8,40,60,0,100,0,c1,1e-05,1,2,0,2,0,3.2769253024691136,0
scenario92,-60,20,80,60,40,40,0.8,40,60,0,100,0,c2,1e-05,2,0,0,1,1,9999.0,1
scenario93,0,0,60,0,0,0,0.8,80,20,0,100,0,c4,1e-05,2,0,1,2,0,2.715803888506003,0
scenario94,-60,40,20,60,0,80,0.4,100,0,0,100,20,c1,1e-05,1,2,0,1,1,9999.0,1
scenario95,90,60,60,0,100,40,0.4,0,100,0,100,20,c2,1e-05,0,1,2,1,0,4.751799839965014,0
scenario96,30,80,20,20,0,80,0.2,40,60,0,100,20,c4,1e-05,1,0,2,0,0,2.577780267234261,0
scenario97,0,20,100,60,100,60,0.6,100,0,0,100,40,c1,1e-05,0,1,1,2,0,1.8251583967956584,0
scenario98,-60,0,80,0,20,0,0.8,0,100,0,100,40,c2,1e-05,0,1,2,0,0,3.22071219561478,0
scenario99,-90,0,20,0,0,100,0.2,0,100,0,100,40,c4,1e-05,2,0,1,0,1,3.788695332483033,1
scenario100,90,20,80,40,0,0,0.8,40,60,0,100,60,c1,1e-05,0,2,1,2,0,2.8338907431644547,0
scenario101,-60,60,100,0,20,0,0.8,80,20,0,100,60,c2,1e-05,2,1,0,1,0,0.8898969800886044,0
scenario102,0,60,60,0,0,0,0.8,40,60,0,100,60,c4,1e-05,1,2,2,0,0,2.2270076158055008,0
scenario103,90,40,20,60,0,100,0.1,0,100,0,100,80,c1,1e-05,1,2,0,2,0,1613.664787763205,0
scenario104,0,20,40,80,0,0,0.8,40,60,0,100,80,c2,1e-05,2,0,0,1,0,1.1219545956614432,0
scenario105,30,60,100,40,80,40,0.6,40,60,0,100,80,c4,1e-05,2,0,1,2,0,1.5093843341821496,0
scenario106,90,60,80,100,0,80,0.8,20,80,0,100,100,c1,1e-05,1,2,0,1,0,1.3280170511989005,0
scenario107,60,40,20,80,100,0,0.6,100,0,0,100,100,c2,1e-05,0,1,2,1,0,3.87817654885752,0
scenario108,60,60,100,0,0,80,0.1,0,100,0,100,100,c4,1e-05,1,0,2,0,0,9999.0,0
scenario109,-30,60,20,60,40,40,0.8,0,100,20,0,0,c1,1e-05,0,1,1,2,0,3.093742714721901,0
scenario110,-30,20,20,60,0,80,0.4,40,60,20,0,0,c2,1e-05,0,1,2,0,0,4.076951304689199,0
scenario111,-30,0,60,0,0,100,0.6,0,100,20,0,0,c4,1e-05,2,0,1,0,0,2.7983028980481754,0
scenario112,60,20,60,40,40,40,0.8,0,100,20,0,20,c1,1e-05,0,2,1,2,0,2.838350982129285,0
scenario113,-90,80,40,60,100,40,0.6,40,60,20,0,20,c2,1e-05,2,1,0,1,0,0.9035044412797656,0
scenario114,30,40,40,100,100,60,0.6,0,100,20,0,20,c4,1e-05,1,2,2,0,0,9999.0,0
scenario115,30,20,100,0,20,40,0.8,40,60,20,0,40,c1,1e-05,1,2,0,2,0,3.018148010049268,0
scenario116,-90,40,20,0,40,0,0.8,0,100,20,0,40,c2,1e-05,2,0,0,1,0,0.6007857296816009,0
scenario117,60,60,100,60,0,0,0.8,0,100,20,0,40,c4,1e-05,2,0,1,2,0,2.7525660285891624,0
scenario118,-60,80,20,0,0,80,0.4,80,20,20,0,60,c1,1e-05,1,2,0,1,0,1.5359868849809906,0
scenario119,-90,40,40,40,100,40,0.6,100,100,20,0,60,c2,1e-05,0,1,2,1,0,3.74040650147006,0
scenario120,-30,40,100,40,0,0,0.8,20,0,20,0,60,c4,1e-05,1,0,2,0,0,2.427919573650679,0
scenario121,90,20,20,20,0,80,0.8,40,60,20,0,80,c1,1e-05,0,1,1,2,0,2.9536830339749423,0
scenario122,30,20,20,0,0,60,0.8,0,100,20,0,80,c2,1e-05,0,1,2,0,0,3.5995802214881736,0
scenario123,-30,80,20,0,20,40,0.8,40,60,20,0,80,c4,1e-05,2,0,1,0,0,2.8719211526976465,0
scenario124,0,20,20,40,20,60,0.8,100,0,20,0,100,c1,1e-05,0,2,1,2,0,3.327456854357934,0
scenario125,-90,60,40,0,0,100,0.6,40,60,20,0,100,c2,1e-05,2,1,0,1,0,0.7024972651763092,0
scenario126,-90,20,60,0,100,0,0.6,0,100,20,0,100,c4,1e-05,1,2,2,0,0,9999.0,0
scenario127,-30,20,60,60,100,40,0.6,0,100,20,20,0,c1,1e-05,1,2,0,2,0,1629.947389625153,0
scenario128,30,20,20,100,0,80,0.4,20,80,20,20,0,c2,1e-05,2,0,0,1,0,3.107758822105223,0
scenario129,90,60,20,20,40,40,0.8,0,100,20,20,0,c4,1e-05,2,0,1,2,0,1.8902003694820944,0
scenario130,90,20,20,0,100,100,0.4,40,60,20,20,20,c1,1e-05,1,2,0,1,0,3.7640328996887473,0
scenario131,-90,60,80,0,80,40,0.6,80,20,20,20,20,c2,1e-05,0,1,2,1,0,4.762738014030539,0
