instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario104,c2,1,80,0.1,80,3,60,20,40,0,40,0,-60,0,1,0.0,1
scenario105,c4,0,60,0.1,20,3,0,40,60,0,80,0,-60,1,0,2.720025977049834,0
scenario106,c4,0,80,0.4,60,3,20,80,80,0,100,80,-90,1,0,2.2631096851361616,0
scenario107,c1,1,100,0.6,20,2,60,80,60,2,40,20,-60,0,0,2.8112233428907984,0
scenario108,c1,2,100,0.1,60,2,20,60,20,2,60,20,0,0,0,3.704846435035496,0
scenario109,c2,1,20,0.4,20,1,20,20,40,1,80,40,0,2,0,1.4665746913510955,0
scenario110,c1,2,100,0.6,100,0,100,80,100,2,60,0,90,1,0,3.30718808951577,0
scenario111,c4,0,60,0.2,40,2,100,40,100,0,40,60,90,2,0,3.3114231490676485,0
scenario112,c1,1,100,0.2,0,2,40,60,20,2,0,60,60,0,0,3.703162235640652,0
scenario113,c4,0,80,0.1,60,3,60,100,100,0,100,60,0,1,0,1.5228003136544097,0
scenario114,c4,2,0,0.2,20,3,40,0,60,0,80,80,0,1,0,5.518566806096248,0
scenario115,c1,1,0,0.8,80,2,0,80,100,2,60,0,-90,0,0,2.688752839731254,0
scenario116,c2,1,0,0.6,0,3,80,40,40,0,0,0,-30,0,0,1.6506749204284503,0
scenario117,c1,2,0,0.6,80,2,60,20,0,2,60,40,-90,0,1,0.0,1
scenario118,c1,1,100,0.2,60,2,20,0,60,2,100,0,-30,0,0,2.4263843466186685,0
scenario119,c4,0,60,1.0,40,3,40,100,40,0,20,80,90,1,0,1.619911364749303,0
scenario120,c4,0,80,0.8,100,3,0,100,60,0,40,80,-90,1,0,2.5815142240087816,0
scenario121,c4,0,20,0.1,100,2,40,60,20,0,40,0,90,2,0,2.71776801875386,0
scenario122,c2,0,80,0.4,20,1,80,80,60,1,60,40,0,2,0,2.7869208588039336,0
scenario123,c2,0,20,0.2,20,1,80,60,80,1,0,40,60,2,0,3.229553261765303,0
scenario124,c4,0,20,0.4,40,3,100,0,100,0,60,40,-30,1,0,2.7005970808512774,0
scenario125,c4,0,0,0.8,80,3,40,80,20,0,0,60,-60,1,0,2.4224356938915066,0
scenario126,c2,1,100,1.0,80,3,60,20,20,1,100,100,60,0,0,2.7967449470776344,0
scenario127,c4,0,100,0.6,100,2,20,40,80,0,40,80,-30,2,0,3.859002876517903,0
scenario128,c1,1,40,0.1,100,2,100,80,100,2,40,100,90,0,0,4.144432990906908,0
scenario129,c4,0,60,0.8,60,3,40,20,20,0,0,80,90,1,0,3.323662666473907,0
scenario130,c2,0,40,0.8,20,1,60,100,60,1,20,0,-60,2,0,3.094793222950944,0
scenario131,c4,0,20,0.4,20,3,0,20,20,0,0,20,90,1,0,4.577062745135685,0
scenario132,c2,1,60,0.2,40,3,20,20,0,0,100,60,-30,0,0,1.8389017784253463,0
scenario133,c1,2,80,0.4,40,2,0,80,100,2,80,0,60,0,0,1.8617951148700376,0
scenario134,c4,0,60,0.1,20,2,20,100,100,2,40,0,0,2,1,0.0,1
scenario135,c2,1,60,0.2,60,1,40,80,0,1,60,0,30,2,0,5.409866430793516,0
scenario136,c4,0,40,0.1,80,2,60,0,40,2,20,40,30,2,0,1.0087579728195832,0
scenario137,c2,1,40,0.4,40,1,20,60,80,1,0,20,30,2,0,4.0006014657146025,0
scenario138,c1,2,40,1.0,100,2,40,40,0,2,100,20,-60,0,0,3.746152991395772,0
scenario139,c4,0,0,1.0,60,2,0,20,80,0,100,0,30,2,0,2.00048387710349,0
scenario140,c2,1,0,0.2,60,1,20,100,0,1,60,40,60,2,0,5.3806947123149325,0
scenario141,c1,2,20,0.4,20,1,0,100,40,1,60,0,0,1,0,0.9488646354343788,0
