instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario131,0,0,40,60,100,30,60,0,100,1.0,False,1.123,0
scenario132,1,40,60,0,20,-60,20,100,0,0.6,False,0.747,0
scenario133,1,40,60,0,20,-60,20,100,0,0.6,False,0.744,0
scenario134,1,20,80,0,40,90,100,20,20,0.8,False,0.821,0
scenario135,0,40,40,80,20,90,40,60,0,0.8,False,1.226,0
scenario136,1,20,40,0,20,0,60,80,20,0.6,False,0.877,0
scenario137,1,60,60,0,20,90,100,100,0,0.8,False,0.914,0
scenario138,0,20,40,20,100,30,80,20,100,1.0,False,1.208,0
scenario139,0,20,60,0,40,60,100,80,20,0.6,False,1.171,0
scenario140,0,20,20,0,100,-60,40,100,60,0.2,False,1.036,0
scenario141,0,60,80,0,80,0,0,100,40,0.6,False,1.104,0
scenario142,1,20,40,0,20,-90,40,100,0,0.2,False,0.808,0
scenario143,0,20,80,0,20,90,100,60,20,0.8,False,1.174,0
scenario144,1,40,80,0,0,90,100,80,0,1.0,False,0.872,0
scenario145,1,0,20,0,80,90,20,40,60,0.2,False,0.795,0
scenario146,0,80,100,0,0,0,60,40,80,0.2,False,1.077,0
scenario147,1,0,20,0,100,90,20,0,20,0.1,False,0.875,0
scenario148,0,40,80,60,20,30,60,60,60,0.2,False,1.126,0
scenario149,1,20,100,20,0,30,100,20,20,0.2,False,0.846,0
scenario150,0,40,100,20,0,60,60,60,60,0.1,False,1.219,0
scenario151,1,60,20,20,60,90,0,20,20,0.1,False,0.864,0
scenario152,1,20,20,0,80,60,40,60,60,0.2,False,0.889,0
scenario153,1,80,0,100,60,90,80,80,40,0.8,False,0.84,0
scenario154,0,100,0,40,100,60,80,60,40,0.2,False,1.11,0
scenario155,0,60,20,100,100,-60,0,80,60,0.2,False,1.086,0
scenario156,0,20,20,100,60,90,0,40,60,0.1,False,1.175,0
