instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,min_ttc,algo_safety
scenario152,0,0,100,20,80,30,40,0,100,0.8,0,0.8222652748864326,0
scenario153,0,0,100,60,40,30,40,0,20,0.4,0,0.8619539473981851,0
scenario154,0,0,100,20,40,30,20,0,20,0.4,0,1.360588181686042,0
scenario155,0,20,100,20,80,30,40,0,40,0.4,0,1.3260531252278067,0
scenario156,0,0,100,20,80,30,40,100,100,0.4,0,2.0457732113003884,0
scenario157,0,0,40,20,40,30,40,0,20,0.4,0,1.4357639705807004,0
scenario158,0,0,100,20,80,30,40,40,20,0.2,0,0.9511248375535004,0
scenario159,0,0,100,20,80,30,0,0,100,0.4,0,2.036619539332514,0
scenario160,0,0,100,20,40,30,40,0,20,1.0,0,1.3239439694102528,0
scenario161,0,0,20,20,40,30,40,0,20,0.4,0,1.4276765560209264,0
scenario162,0,0,100,20,80,30,40,40,60,0.4,0,1.3157994539047957,0
scenario163,0,0,100,20,80,30,60,0,20,0.2,0,1.2943626601915863,0
scenario164,0,0,100,20,80,30,40,0,20,0.8,0,1.3564950963122062,0
scenario165,0,0,100,20,80,30,60,0,60,0.4,0,1.3554864030370837,0
scenario166,0,0,100,60,80,30,40,40,20,0.4,0,1.209053288901841,0
scenario167,0,0,100,20,80,30,20,40,20,0.4,0,1.707773049922905,0
scenario168,0,0,100,20,80,30,60,80,20,0.4,0,0.8704115606236822,0
scenario169,0,0,100,20,80,30,0,0,20,0.4,0,1.42004506572486,0
scenario170,0,0,40,20,80,30,40,40,20,0.4,0,1.404735209546959,0
scenario171,0,0,100,60,80,30,60,0,20,0.4,0,1.423173839180307,0
scenario172,0,0,80,20,80,-30,40,0,20,0.4,0,0.8039285262031401,0
scenario173,0,60,100,20,40,30,40,0,20,0.4,0,1.336307191418738,0
scenario174,0,0,60,20,80,30,40,0,20,0.2,0,1.3934901288233967,0
scenario175,0,0,100,20,80,30,40,40,20,1.0,0,1.4394713333517108,0
scenario176,0,0,0,20,20,30,40,0,20,0.4,0,1.4181327710821825,0
scenario177,0,0,100,20,20,60,40,0,20,0.4,0,1.3407796440588506,0
scenario178,0,0,100,40,20,30,40,0,20,0.4,0,0.8062775786194192,0
scenario179,0,0,20,20,80,30,40,40,20,0.4,0,1.4349777627647766,0
scenario180,0,0,100,20,40,30,40,0,20,0.6,0,1.3485567011090729,0
scenario181,0,0,60,20,80,30,40,0,60,0.4,0,1.4626930705075354,0
scenario182,0,0,40,20,80,30,60,0,20,0.4,0,1.3906279157558952,0
scenario183,0,0,100,20,80,30,60,0,20,1.0,0,1.357881204807862,0
scenario184,0,0,20,20,80,30,60,0,20,0.4,0,1.341506184388832,0
scenario185,0,0,60,20,80,30,40,80,20,0.4,0,1.5512206054893225,0
scenario186,0,0,100,100,80,30,40,40,20,0.4,0,1.1467281847915451,0
scenario187,0,20,100,20,80,30,40,0,20,0.8,0,1.3236619935530904,0
scenario188,0,0,0,0,80,30,40,0,20,0.4,0,1.4784813581149632,0
scenario189,0,0,100,0,0,30,40,0,20,0.4,0,1.0626137848704829,0
scenario190,0,0,100,0,80,30,40,0,20,0.0,0,1.355433265353346,0
scenario191,0,0,100,0,80,60,40,0,20,0.4,0,1.3586044033138698,0
scenario192,0,0,100,0,80,90,40,0,20,0.4,0,1.3531521979440977,0
scenario193,1,0,100,20,80,30,40,0,20,0.2,0,1.1488006822952104,0
scenario194,0,0,80,20,80,30,80,0,20,0.4,0,1.3221900761371783,0
scenario195,0,0,100,20,80,30,40,0,60,0.2,0,1.5952834173957824,0
scenario196,0,0,60,60,80,30,40,0,20,0.4,0,1.0476999696596505,0
scenario197,0,0,80,20,80,30,40,0,80,0.4,0,0.8518314350423489,0
scenario198,0,20,100,20,80,30,40,100,20,0.4,0,1.453134213734668,0
scenario199,0,0,100,80,80,0,40,0,20,0.4,0,1.1065552397995662,0
scenario200,0,0,100,100,80,30,60,0,20,0.4,0,1.3644370496564164,0
scenario201,0,20,100,20,80,30,0,0,20,0.4,0,1.3536387168667237,0
scenario202,0,0,100,20,80,30,40,80,20,0.2,0,1.4738513438416467,0
scenario203,0,80,80,20,80,30,40,0,20,0.4,0,1.3513079666788057,0
scenario204,0,0,100,80,80,-30,40,0,20,0.4,0,0.8670613621735543,0
scenario205,0,60,100,20,80,30,40,40,20,0.4,0,1.4854710383173908,0
scenario206,0,0,60,20,80,30,40,0,20,1.0,0,1.3349765335176815,0
scenario207,0,0,100,20,80,30,40,40,20,0.6,0,1.4648763919305707,0
scenario208,0,100,100,20,80,0,40,0,20,0.4,0,1.3600637169556031,0
scenario209,0,0,100,60,80,30,40,0,20,0.2,0,0.930845464471058,0
scenario210,0,0,80,20,60,30,40,0,20,0.4,0,1.4678839768005254,0
scenario211,0,0,100,20,80,30,20,0,20,0.2,0,1.5327731653296677,0
scenario212,0,0,100,20,100,30,40,40,20,0.4,0,1.4332103745426803,0
scenario213,0,0,0,20,80,30,40,0,20,0.1,0,1.4287796111546938,0
scenario214,0,0,100,20,0,30,40,0,20,0.1,0,1.3908894460996295,0
scenario215,0,0,100,40,80,30,40,0,20,0.1,0,0.8084139046665926,0
scenario216,0,0,100,20,80,60,40,0,20,0.1,0,1.3813853752035,0
scenario217,0,0,100,20,80,90,40,0,20,0.1,0,1.3599448947786317,0
scenario218,0,100,100,20,80,-30,40,0,20,0.4,0,0.974573830473482,0
scenario219,0,60,100,20,80,30,60,0,20,0.4,0,1.3511134392948705,0
scenario220,0,0,100,20,80,30,20,0,60,0.4,0,1.5239069804294685,0
scenario221,0,0,40,20,80,30,40,0,20,0.2,0,1.4409035039723337,0
scenario222,0,0,100,20,80,30,60,0,20,0.6,0,1.35982498776304,0
scenario223,0,0,60,100,80,30,40,0,20,0.4,0,0.8211278865613939,0
scenario224,0,0,100,20,100,30,60,0,20,0.4,0,1.3226265417153396,0
