instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario100,c2,0,100,0.6,40,1,20,0,60,1,60,20,60,2,0,2.077564107793288,0
scenario101,c2,1,100,0.1,80,3,0,40,40,0,0,80,-60,0,0,3.297963626532559,0
scenario102,c1,2,100,0.1,100,2,40,0,40,2,0,100,-90,0,0,6.647360114482808,0
scenario103,c4,2,60,0.8,100,3,100,40,80,0,20,0,90,1,0,1.7270178756803105,0
scenario104,c2,1,80,0.1,80,3,60,20,40,0,40,0,-60,0,0,4.33964005908095,0
scenario105,c4,0,60,0.1,20,3,0,40,60,0,80,0,-60,1,0,2.7591651112488496,0
scenario106,c4,0,80,0.4,60,3,20,80,80,0,100,80,-90,1,0,2.691208566842753,0
scenario107,c1,1,100,0.6,20,2,60,80,60,2,40,20,-60,0,0,2.70410281918187,0
scenario108,c1,2,100,0.1,60,2,20,60,20,2,60,20,0,0,0,3.1928425888786323,0
scenario109,c2,1,20,0.4,20,1,20,20,40,1,80,40,0,2,0,3.1289638173049914,0
scenario110,c1,2,100,0.6,100,0,100,80,100,2,60,0,90,1,0,1.6834399567371332,0
scenario111,c4,0,60,0.2,40,2,100,40,100,0,40,60,90,2,0,2.7039871057021343,0
scenario112,c1,1,100,0.2,0,2,40,60,20,2,0,60,60,0,0,2.589485590039889,0
scenario113,c4,0,80,0.1,60,3,60,100,100,0,100,60,0,1,0,2.818887993690016,0
scenario114,c4,2,0,0.2,20,3,40,0,60,0,80,80,0,1,0,2.0375855614393594,0
scenario115,c1,1,0,0.8,80,2,0,80,100,2,60,0,-90,0,0,2.5918746696302257,0
scenario116,c2,1,0,0.6,0,3,80,40,40,0,0,0,-30,0,0,4.7614101696118585,0
scenario117,c1,2,0,0.6,80,2,60,20,0,2,60,40,-90,0,0,3.198051180842189,0
scenario118,c1,1,100,0.2,60,2,20,0,60,2,100,0,-30,0,0,2.016005754730777,0
scenario119,c4,0,60,1.0,40,3,40,100,40,0,20,80,90,1,0,2.0656869464757674,0
scenario120,c4,0,80,0.8,100,3,0,100,60,0,40,80,-90,1,0,2.569771554736305,0
scenario121,c4,0,20,0.1,100,2,40,60,20,0,40,0,90,2,0,1.0867232990218427,0
scenario122,c2,0,80,0.4,20,1,80,80,60,1,60,40,0,2,0,1.73387750296746,0
scenario123,c2,0,20,0.2,20,1,80,60,80,1,0,40,60,2,0,1.7532411801925412,0
scenario124,c4,0,20,0.4,40,3,100,0,100,0,60,40,-30,1,0,2.43143199362272,0
scenario125,c4,0,0,0.8,80,3,40,80,20,0,0,60,-60,1,0,2.504031067009193,0
scenario126,c2,1,100,1.0,80,3,60,20,20,1,100,100,60,0,0,4.313777053824784,0
scenario127,c4,0,100,0.6,100,2,20,40,80,0,40,80,-30,2,0,2.315737620884672,0
scenario128,c1,1,40,0.1,100,2,100,80,100,2,40,100,90,0,0,0.4452385732764576,1
scenario129,c4,0,60,0.8,60,3,40,20,20,0,0,80,90,1,0,2.4907638251843016,0
scenario130,c2,0,40,0.8,20,1,60,100,60,1,20,0,-60,2,1,9999.0,1
scenario131,c4,0,20,0.4,20,3,0,20,20,0,0,20,90,1,0,2.5106958925942977,0
scenario132,c2,1,60,0.2,40,3,20,20,0,0,100,60,-30,0,0,4.009604643139036,0
scenario133,c1,2,80,0.4,40,2,0,80,100,2,80,0,60,0,0,2.8947807535923595,0
scenario134,c4,0,60,0.1,20,2,20,100,100,2,40,0,0,2,0,1.3318207786048208,0
scenario135,c2,1,60,0.2,60,1,40,80,0,1,60,0,30,2,0,3.324100244387583,0
scenario136,c4,0,40,0.1,80,2,60,0,40,2,20,40,30,2,0,2.113952457154047,0
scenario137,c2,1,40,0.4,40,1,20,60,80,1,0,20,30,2,0,3.181170667797829,0
scenario138,c1,2,40,1.0,100,2,40,40,0,2,100,20,-60,0,0,2.650388457685827,0
scenario139,c4,0,0,1.0,60,2,0,20,80,0,100,0,30,2,0,3.983908614558044,0
scenario140,c2,1,0,0.2,60,1,20,100,0,1,60,40,60,2,0,3.259281241269182,0
scenario141,c1,2,20,0.4,20,1,0,100,40,1,60,0,0,1,0,1.1074555727536814,0
scenario142,c1,2,40,0.2,40,1,100,60,40,1,100,60,0,1,0,1.5297974516146446,0
scenario143,c2,1,60,0.1,80,3,0,40,80,0,20,80,-30,0,0,3.7969326444251967,0
scenario144,c1,1,40,0.4,40,2,100,80,60,2,100,100,90,0,0,1.84519733036945,0
scenario145,c4,0,40,1.0,60,2,40,60,40,0,80,40,60,2,1,1.088870402727822,1
scenario146,c2,1,60,0.4,100,1,100,100,20,1,40,60,-30,2,0,3.672507675631319,0
scenario147,c2,0,40,1.0,40,1,20,80,60,1,20,100,90,2,0,1.7611473151197716,0
scenario148,c2,1,100,0.4,80,1,80,80,40,1,80,80,0,2,0,2.884076471620019,0
scenario149,c2,1,60,0.2,20,1,80,20,100,1,20,20,30,2,0,3.206889427771621,0
scenario150,c2,1,0,0.2,40,1,20,60,0,1,20,20,-60,2,0,3.3590585935555533,0
scenario151,c2,0,60,0.2,0,1,40,60,80,1,60,80,60,2,0,1.2233916935447993,0
scenario152,c2,0,60,0.1,100,1,40,40,0,1,60,80,90,2,0,1.834750626663596,0
scenario153,c4,0,40,0.6,40,2,80,40,40,2,80,20,30,2,0,1.7395908798383226,0
scenario154,c2,1,80,0.4,20,1,60,20,20,1,80,80,0,2,0,9999.0,0
scenario155,c1,2,80,0.8,20,2,40,60,80,2,0,40,30,0,0,2.5945689112165784,0
scenario156,c4,0,40,0.8,60,2,60,60,100,0,20,60,0,2,0,3.008616954390717,0
scenario157,c4,0,40,0.6,20,2,60,80,0,2,0,100,-90,2,0,1.6923780990147366,0
scenario158,c1,2,100,0.1,80,1,20,40,60,1,60,80,90,1,0,0.8152914313642796,0
scenario159,c2,0,60,0.2,60,1,40,40,40,1,0,100,90,2,0,1.778813119047056,0
scenario160,c2,1,100,1.0,20,1,20,0,60,1,80,80,-30,2,0,3.376047638728896,0
scenario161,c2,1,80,0.1,40,1,20,100,40,1,40,80,0,2,0,3.012883003637703,0
scenario162,c4,0,40,0.2,20,3,100,0,100,0,80,60,-30,1,0,2.507811229404302,0
scenario163,c4,0,20,0.8,0,2,0,100,20,0,80,100,90,2,0,2.3214848253783384,0
scenario164,c2,0,20,0.8,0,1,40,80,60,1,60,20,60,2,0,0.9264020314732112,0
scenario165,c1,2,80,0.8,60,2,0,60,60,2,20,60,60,0,0,2.7026300915833983,0
scenario166,c2,1,0,0.6,100,1,60,40,100,1,100,40,-60,2,0,3.774590288236364,0
scenario167,c1,2,0,0.8,40,2,80,0,80,2,0,20,-30,0,0,2.6607540477522846,0
scenario168,c1,2,60,1.0,40,2,60,80,60,2,40,80,30,0,0,2.9341589253632727,0
scenario169,c4,2,60,1.0,60,3,60,20,100,0,100,40,-30,1,1,9999.0,1
scenario170,c1,1,60,0.8,40,2,60,40,20,2,100,80,60,0,0,3.109865308360268,0
scenario171,c4,0,0,0.8,40,3,80,0,100,0,80,40,60,1,0,2.4401852539393465,0
scenario172,c2,1,60,0.4,20,1,60,80,0,1,0,60,30,2,0,3.767839674823793,0
scenario173,c4,2,40,0.6,100,3,60,0,20,0,80,40,-90,1,0,9999.0,0
scenario174,c1,2,40,0.4,100,1,100,60,20,1,40,40,0,1,0,9999.0,0
scenario175,c2,1,80,0.8,20,3,0,80,20,0,60,20,-90,0,0,3.883131429975903,0
scenario176,c4,0,100,0.6,80,3,0,60,40,0,60,20,30,1,0,2.41810793304752,0
scenario177,c2,0,80,0.6,80,1,40,0,0,1,60,0,60,2,0,1.7865609879811488,0
scenario178,c1,2,20,0.6,40,0,60,0,20,2,0,60,90,1,0,1.439760506825312,0
scenario179,c1,2,40,0.6,100,2,60,0,100,2,40,20,-60,0,0,2.393657357600594,0
